Input,Target Gloss,Predicted Gloss
the negotiated text for this free trade agreement provides for the possibility of designating outward processing zones .,NEGOTIATE TEXT FOR THIS DESC-FREE TRADE AGREEMENT PROVIDE FOR POSSIBILITY DESIGNATE DESC-OUTWARD PROCESSING ZONE,NEGOTIATE TEXT FOR THIS DESC-FREE TRADE AGREEMENT PROVIDE FOR POSSIBILITY DESIGNATE DESC-OUTWARD PROCESS ZONE
"this would allow citizens to make an enlightened choice , which means that we cannot mislead anyone .",THIS WOULD ALLOW CITIZEN TO MAKE ENLIGHTEN CHOICE WHICH MEAN THAT X-WE CAN DESC-NOT MISLEAD ANYONE,THIS WOULD ALLOW CITIZEN TO MAKE DESC-ENLIGHTEN CHOICE WHICH MEAN THAT X-WE CAN DESC-NOT MISLEAD ANYONE
this cannot go on we also have to investigate these matters inasmuch as they affect us .,THIS CAN DESC-NOT GO ON X-WE DESC-ALSO HAVE TO INVESTIGATE SE MATTER INASMUCH AS X-Y AFFECT X-WE,THIS CAN DESC-NOT GO ON X-WE DESC-ALSO HAVE TO INVESTIGATE SE MATTER DESC-INASMUCH AS X-Y AFFECT X-WE
"madam president , commissioner , ladies and gentlemen , yesterday i saw some images of rohingya refugees from burma .",MADAM PRESIDENT COMMISSIONER LADY AND GENTLEMAN YESTERDAY X-I SEE SOME IMAGE ROHINGYA REFUGEE FROM BURMA,MADAM PRESIDENT COMMISSIONER LADY AND GENTLEMAN YESTERDAY X-I SEE SOME IMAGES ROHINGYA REFUGEE FROM BURMA
"how long before they and their allies , including britain , are deploying ground troops there against al qaeda ?",HOW DESC-LONG BEFORE X-Y AND X-Y ALLY INCLUDE BRITAIN BE DEPLOY GROUND TROOPS DESC-RE AGAINST AL QAEDA,HOW DESC-LONG BEFORE X-Y AND X-Y ALLY INCLUDE BRITAIN BE DEPLOY GROUND TRUCK DESC-RE AGAINST AL QADEDA
"de thank you , mrs malmström .",M X-YOU MR MALMSTR,DE THANK X-YOU MR MALMSTR
"currently , only 5 % of europe's cultural heritage is available in digitised form .",DESC-CURRENTLY DESC-ONLY 5 % EUROPE X-POSS DESC-CULTURAL HERITAGE BE DESC-AVAILABLE IN DIGITISE FORM,DESC-CURRENTLY DESC-ONLY 5 % EUROPE X-POSS DESC-CULTURAL HERITAGE BE DESC-AVAILABLE IN DIGITALISE FORM
there must be accountability in international law where such warfare principles as proportionality and non discrimination are not respected .,DESC-RE MUST BE ACCOUNTABILITY IN DESC-INTERNATIONAL LAW WHERE DESC-SUCH WARFARE PRINCIPLE AS PROPORTIONALITY AND NON DISCRIMINATION BE DESC-NOT RESPECT,DESC-RE MUST BE ACCOUNTABILITY IN DESC-INTERNATIONAL LAW WHERE DESC-SUCH WARRIOR PRINCIPLE AS PROPORTIONALITY AND NON DISCRIMINATION BE DESC-NOT RESPECT
this is not only because we are convinced of your qualities but also because we are in a hurry .,THIS BE DESC-NOT DESC-ONLY BECAUSE X-WE BE CONVINCE X-YOU QUALITY BUT DESC-ALSO BECAUSE X-WE BE IN HURRY,THIS BE DESC-NOT DESC-ONLY BECAUSE X-WE BE CONVINCE X-YOU QUALITY BUT DESC-ALSO BECAUSE X-WE BE IN MURDER
it is not worth trying to rank grievances .,X-IT BE DESC-NOT WORTH TRY TO RANK GRIEVANCE,X-IT BE DESC-NOT WORTH TRY TO RANGE GIRRMANCE
"while it was a question of consent to build it , everything was alright .",WHILE X-IT BE QUESTION CONSENT TO BUILD X-IT EVERYTHING BE ALRIGHT,WHILE X-IT BE QUESTION CONSENT TO BUILD X-IT EVERYTHING BE DESC-ALRIGHT
the goal is to put neo fascism in a good light and condemn communism .,GOAL BE TO PUT NEO FASCISM IN DESC-GOOD LIGHT AND CONDEMN COMMUNISM,GOAL BE TO PUT NEO FACUSM IN DESC-GOOD LIGHT AND CONDEMN COMMUNISM
"however , europe is at a turning point if it does not find a new modus operandi .",DESC-HOWEVER EUROPE BE AT TURN POINT IF X-IT DO DESC-NOT FIND DESC-NEW MODUS OPERAND X-I,DESC-HOWEVER EUROPE BE AT TURN POINT IF X-IT DO DESC-NOT FIND DESC-NEW MODUS OPERANDUS
budgetary discipline and sound economic management can accelerate the turnaround .,DESC-BUDGETARY DISCIPLINE AND SOUND DESC-ECONOMIC MANAGEMENT CAN ACCELERATE TURNAROUND,DESC-BUDGETARY DISCIPLINE AND SOUND DESC-ECONOMIC MANAGEMENT CAN ACCELERATE TURNOVER
bericht zatloukal,BERICHT ZATLOUKAL,RAPPORT ZATLOUKAL
"yet the united states and the emerging economies , too , must put their hands in their pockets .",DESC-YET UNITE STATE AND EMERGE ECONOMY DESC-TOO MUST PUT X-Y HAND IN X-Y POCKET,DESC-YET UNITE STATE AND EMERGE ECONOMY DESC-TOO MUST PUT X-Y HAND IN X-Y PACKAGE
on our initiative several warning devices have been installed there .,ON X-WE INITIATIVE DESC-SEVERAL WARN DEVICE HAVE BE INSTALL DESC-RE,ON X-WE INITIATIVE DESC-SEVERAL WARN DISPLAY HAVE BE INSTALL DESC-RE
let there be no illusions .,LET DESC-RE BE NO ILLUSION,LET DESC-RE BE NO ISLUSION
"mrs panayotopoulos cassiotou , i think that the commissioner has heard you .",MR PANAYOTOPOULO CASSIOTOU X-I THINK THAT COMMISSIONER HAVE HEAR X-YOU,MR PANYOPOULOS CASTIOTOOU X-I THINK THAT COMMISSIONER HAVE HEAR X-YOU
"we must discuss the various themes seriously , honestly and openly and set ourselves new objectives .",X-WE MUST DISCUSS DESC-VARIOUS ME DESC-SERIOUSLY DESC-HONESTLY AND DESC-OPENLY AND SET X-OURSELVES DESC-NEW OBJECTIVE,X-WE MUST DISCUSS DESC-VARIOUS THEME DESC-SERIOUSLY DESC-HONESTLY AND DESC-OPENLY AND SET X-OURSELVES DESC-NEW OBJECTIVE
and why do some heart patients needlessly have to wait months for surgery to unblock arteries ?,AND WHY DO SOME HEART PATIENT DESC-NEEDLESSLY HAVE TO WAIT MONTH FOR SURGERY TO UNBLOCK ARTERY,AND WHY DO SOME HEART PATIENT DESC-NECESSARILY HAVE TO WAIT MONTH FOR OPERATING TO UNBLOCK ARGENT
not once in our speeches have we mentioned the italian prime minister .,DESC-NOT DESC-ONCE IN X-WE SPEECH HAVE X-WE MENTION ITALIAN DESC-PRIME MINISTER,DESC-NOT DESC-ONCE IN X-WE SPEECH HAVE X-WE MENTION ITALY DESC-PRIME MINISTER
i am simply saying that a whole series of issues merit responses .,X-I BE DESC-SIMPLY SAY THAT WHOLE SERIES ISSUE MERIT RESPONSE,X-I BE DESC-SIMPLY SAY THAT WHOLE SERIES ISSUE METHOD RESPONSE
let us embark on this european journey together .,LET X-WE EMBARK ON THIS EUROPEAN JOURNEY DESC-TOGER,LET X-WE ENGAGE ON THIS EUROPEAN JOURNEY DESC-TOGER
"those are the reasons why i oppose paragraph 17 of the mcguinness report , which is otherwise problem free .",THOSE BE REASON WHY X-I OPPOSE PARAGRAPH 17 MCGUINNESS REPORT WHICH BE DESC-ORWISE PROBLEM DESC-FREE,THOSE BE REASON WHY X-I OPPOSE PARAGRAPH 17 MCGINNESS REPORT WHICH BE DESC-ORWISE PROBLEM DESC-FREE
she wanted to support clear labelling of products about the content of nanomaterials .,X-SHE WANT TO SUPPORT DESC-CLEAR LABEL PRODUCT ABOUT CONTENT NANOMATERIAL,X-SHE WANT TO SUPPORT DESC-CLEAR LABEL PRODUCT ABOUT CONTENT NANOMATRIC
i hope that nobody would argue against that .,X-I HOPE THAT NOBODY WOULD ARGUE AGAINST THAT,X-I HOPE THAT NOBODY WOULD ARGUMENT AGAINST THAT
vaccinated animals can also be carriers of the disease without displaying a symptom .,VACCINATE ANIMAL CAN DESC-ALSO BE CARRIER DISEASE WITHOUT DISPLAY SYMPTOM,VACCINATE ANIMAL CAN DESC-ALSO BE CARRY DISEASE WITHOUT DISPLAY SIGNAL
it greatly increases the likelihood of accidents .,X-IT DESC-GREATLY INCREASE LIKELIHOOD ACCIDENT,X-IT DESC-GREATLY INCREASE POSSIBILITY ACCIDENT
"they are not here and we are very surprised , as it is certainly not a problem of transport .",X-Y BE DESC-NOT DESC-HERE AND X-WE BE DESC-VERY DESC-SURPRISED AS X-IT BE DESC-CERTAINLY DESC-NOT PROBLEM TRANSPORT,X-Y BE DESC-NOT DESC-HERE AND X-WE BE DESC-VERY SURPRISE AS X-IT BE DESC-CERTAINLY DESC-NOT PROBLEM TRANSPORT
i hope it will not only flourish but also bear fruit .,X-I HOPE X-IT WILL DESC-NOT DESC-ONLY FLOURISH BUT DESC-ALSO BEAR FRUIT,X-I HOPE X-IT WILL DESC-NOT DESC-ONLY FLOWER BUT DESC-ALSO BEAR FRUIT
"passive smoking is a moral problem , because those who suffer have no choice .",PASSIVE SMOKING BE DESC-MORAL PROBLEM BECAUSE THOSE WHO SUFFER HAVE NO CHOICE,DESC-PASSIVE SMOKING BE DESC-MORAL PROBLEM BECAUSE THOSE WHO SUFFER HAVE NO CHOICE
"otherwise , the deadlock that we fear we are in at the moment will continue .",DESC-ORWISE DEADLOCK THAT X-WE FEAR X-WE BE IN AT MOMENT WILL CONTINUE,DESC-ORWISE DEATHLOCK THAT X-WE FEAR X-WE BE IN AT MOMENT WILL CONTINUE
"president barroso , the role of a commissioner is not to pour petrol onto the fire .",PRESIDENT BARROSO ROLE COMMISSIONER BE DESC-NOT TO POUR PETROL ONTO FIRE,PRESIDENT BARROSO ROLE COMMISSIONER BE DESC-NOT TO POUR POTATO ONTO FIRE
the commissioner declined to do so .,COMMISSIONER DECLINE TO DO DESC-SO,COMMISSIONER DECIDE TO DO DESC-SO
the focus on quality rather than quantity may entail long term benefits for many households .,FOCUS ON QUALITY DESC-RAR THAN QUANTITY MAY ENTAIL DESC-LONG TERM BENEFIT FOR DESC-MANY HOUSEHOLD,FOCUS ON QUALITY DESC-RAR THAN QUALITY MAY ENTAIL DESC-LONG TERM BENEFIT FOR DESC-MANY HOUSEHOLD
friction losses are around 30 % of total energy .,FRICTION LOSS BE AROUND 30 % TOTAL ENERGY,FRACTION LOSS BE AROUND 30 % TOTAL ENERGY
the commission agrees that we obviously need to be able to count on quality inputs from member states .,COMMISSION AGREE THAT X-WE DESC-OBVIOUSLY NEED TO BE DESC-ABLE TO COUNT ON QUALITY INPUT FROM MEMBER STATE,COMMISSION AGREE THAT X-WE DESC-OBVIOUSLY NEED TO BE DESC-ABLE TO COUNT ON QUALITY IN input FROM MEMBER STATE
"lastly , there is the political subject of this debate il fatto quotidiano .",DESC-LASTLY DESC-RE BE DESC-POLITICAL SUBJECT THIS DEBATE IL FATTO QUOTIDIANO,DESC-LASTLY DESC-RE BE DESC-POLITICAL SUBJECT THIS DEBATE IL FATTO QUARIDIANO
the usa flattens iraq and this place fawns on them .,USA FLATTEN IRAQ AND THIS PLACE FAWN ON X-Y,USA DESC-FLATTEN IRAQ AND THIS PLACE FAWN ON X-Y
"madam president , one of the greatest human tragedies in the contemporary world is taking place in darfur .",MADAM PRESIDENT ONE DESC-GREATEST DESC-HUMAN TRAGEDY IN DESC-CONTEMPORARY WORLD BE TAKE PLACE IN DARFUR,MADAM PRESIDENT ONE DESC-GREATEST DESC-HUMAN TRAGEDY IN DESC-CONTEMPORARY WORLD BE TAKE PLACE IN CANDERUR
the assessment of the situation by sakharov prize winner milinkevich is pessimistic .,ASSESSMENT SITUATION BY SAKHAROV PRIZE WINNER MILINKEVICH BE DESC-PESSIMISTIC,ASSESSMENT SITUATION BY SAKHAROV PRIZE WINNER MILINKEVICH BE DESC-PESIMISTIC
award of the sakharov prize formal sitting,AWARD SAKHAROV PRIZE DESC-FORMAL SIT,AWARD SAKHAROV PRICE DESC-FORMAL SIT
"if the politicised rail system ran the railways better , these things would not happen .",IF DESC-POLITICISED RAIL SYSTEM RUN RAILWAY DESC-BETTER SE THING WOULD DESC-NOT HAPPEN,IF POLITICISE RAIL SYSTEM RUN RAILWAY DESC-BETTER SE THING WOULD DESC-NOT HAPPEN
prudential assessment of acquisitions and increase of shareholdings vote,PRUDENTIAL ASSESSMENT ACQUISITION AND INCREASE SHAREHOLDING VOTE,DESC-PRUDENTIAL ASSESSMENT ACQUISITION AND INCREASE SHAREHOLD VOTE
srebrenica is synonymous with the ruthless and inhumane killing of children and adults it is synonymous with genocide .,SREBRENICA BE DESC-SYNONYMOUS WITH DESC-RUTHLESS AND INHUMANE KILL CHILD AND ADULT X-IT BE DESC-SYNONYMOUS WITH GENOCIDE,SREBRENICA BE DESC-SYNONYMOUS WITH DESC-RUTHLESS AND INHUMANE KILL CHILD AND DESC-adult X-IT BE DESC-SYNONYMOUS WITH GENOCIDE
"so , in this regard , i not do not want there to be any electoral opportunism .",DESC-SO IN THIS REGARD X-I DESC-NOT DO DESC-NOT WANT DESC-RE TO BE ANY DESC-ELECTORAL OPPORTUNISM,DESC-SO IN THIS REGARD X-I DESC-NOT DO DESC-NOT WANT DESC-RE TO BE ANY DESC-ELECTORAL OPPORTUNITY
"the eu will certainly not be planting its flag on the seabed , as the russians have done .",EU WILL DESC-CERTAINLY DESC-NOT BE PLANT X-ITS FLAG ON SEAB AS RUSSIAN HAVE DO,EU WILL DESC-CERTAINLY DESC-NOT BE PLANT X-ITS FAG ON SEABED AS RUSSIAN HAVE DO
"positive action is required as well , in relation to measures implemented beforehand and through offering appropriate adjustments .",DESC-POSITIVE ACTION BE REQUIRE AS DESC-WELL IN RELATION TO MEASURE IMPLEMENT DESC-BEFOREHAND AND THROUGH OFFER DESC-APPROPRIATE ADJUSTMENT,DESC-POSITIVE ACTION BE REQUIRE AS DESC-WELL IN RELATION TO MEASURE IMPLEMENT DESC-AVAILABLELY AND THROUGH OFFER DESC-APPROPRIATE ADJUSTMENT
too many rules in the new regulation are implemented using the comitology procedure .,DESC-TOO DESC-MANY RULE IN DESC-NEW REGULATION BE IMPLEMENT USE COMITOLOGY PROCEDURE,DESC-TOO DESC-MANY RULE IN DESC-NEW REGULATION BE IMPLEMENT USE COMMITOLOGY PROCEDURE
an unprecedented wave of state repression is trying to silence those who are fighting for democratic reforms in iran .,DESC-UNPRECEDENTED WAVE STATE REPRESSION BE TRY TO SILENCE THOSE WHO BE FIGHT FOR DESC-DEMOCRATIC REFORM IN IRAN,WAVE STATE REPRESSION BE TRY TO SILENCE THOSE WHO BE FIGHT FOR DESC-DEMOCRATIC REFORM IN IRAN
the decision on financial market supervision has still not been finalised .,DECISION ON DESC-FINANCIAL MARKET SUPERVISION HAVE DESC-STILL DESC-NOT BE FINALIZE,DECISION ON DESC-FINANCIAL MARKET SUPERVISION HAVE DESC-STILL DESC-NOT BE DESC-FINALISED
we have seen the result of this recently in the listeria contaminated cheese scandal .,X-WE HAVE SEE RESULT THIS DESC-RECENTLY IN LISTERIUM CONTAMINATE CHEESE SCANDAL,X-WE HAVE SEE RESULT THIS DESC-RECENTLY IN LISTERA CONTAIN CHEESE SCANDAL
"author . mr president , for 30 years iran has been ruled by a theocratic dictatorship .",MR PRESIDENT FOR 30 YEAR IRAN HAVE BE RULE BY DESC-OCRATIC DICTATORSHIP,MR PRESIDENT FOR 30 YEAR IRAN HAVE BE RULE BY DESC-TOCRATIC DICTATORSHIP
the eu's structural policy is caught up in a massive vicious circle of bureaucracy .,EU X-POSS DESC-STRUCTURAL POLICY BE CATCH DESC-UP IN DESC-MASSIVE DESC-VICIOUS CIRCLE BUREAUCRACY,EU X-POSS DESC-STRUCTURAL POLICY BE CATCH DESC-UP IN DESC-MASSIVE DESC-VIOLENT CIRCLE BUREAUCRACY
"hopefully , the financial crisis work group that parliament has set up will be a new source of guidance .",DESC-HOPEFULLY DESC-FINANCIAL CRISIS WORK GROUP THAT PARLIAMENT HAVE SET DESC-UP WILL BE DESC-NEW SOURCE GUIDANCE,DESC-HOPEFULLY DESC-FINANCIAL CRISIS WORK GROUP THAT PARLIAMENT HAVE SET DESC-UP WILL BE DESC-NEW SOURCE GUIDELINE
i agree entirely with what ana maria gomes has just said .,X-I AGREE DESC-ENTIRELY WITH WHAT ANA MARIUM GOME HAVE DESC-JUST SAY,X-I AGREE DESC-ENTIRELY WITH WHAT ANA MARIA GOME HAVE DESC-JUST SAY
"but , still , the new bosses would not listen to the people .",BUT DESC-STILL DESC-NEW BOSS WOULD DESC-NOT LISTEN TO PEOPLE,BUT DESC-STILL DESC-NEW BOX WOULD DESC-NOT LISTEN TO PEOPLE
gilad shalit should not be made a bargaining chip by the terrorist organisation hamas but should be released immediately .,GILAD SHALIT SHOULD DESC-NOT BE MAKE BARGAINING CHIP BY DESC-TERRORIST ORGANIZATION HAMA BUT SHOULD BE RELEASE DESC-IMMEDIATELY,GILAD SHALIT SHOULD DESC-NOT BE MAKE BUYER CHIP BY DESC-TERRORIST ORGANIZATION HAMA BUT SHOULD BE RELEASE DESC-IMMEDIATELY
familiarisation with the actual legal situation is crucial to dispelling the groundless fears .,FAMILIARISATION WITH DESC-ACTUAL DESC-LEGAL SITUATION BE DESC-CRUCIAL TO DISPEL DESC-GROUNDLESS FEAR,FAMILIATION WITH DESC-ACTUAL DESC-LEGAL SITUATION BE DESC-CRUCIAL TO DISPLAY DESC-GROUNDLESS FEAR
"this requires a comprehensive policy approach , as no member state can realistically find its own solution in isolation .",THIS REQUIRE DESC-COMPREHENSIVE POLICY APPROACH AS NO MEMBER STATE CAN DESC-REALISTICALLY FIND X-ITS DESC-OWN SOLUTION IN ISOLATION,THIS REQUIRE DESC-COMPREHENSIVE POLICY APPROACH AS NO MEMBER STATE CAN DESC-REALISTICALLY FIND X-ITS DESC-OWN SOLUTION IN ISILATION
the solicitation of children for sexual purposes should be seen as a crime .,SOLICITATION CHILD FOR DESC-SEXUAL PURPOSE SHOULD BE SEE AS CRIME,SOURCE CHILD FOR DESC-SEXUAL PURPOSE SHOULD BE SEE AS CRIME
it is not simply a matter of measuring levels of residues in food .,X-IT BE DESC-NOT DESC-SIMPLY MATTER MEASURE LEVEL RESIDUE IN FOOD,X-IT BE DESC-NOT DESC-SIMPLY MATTER MEASURE LEVEL RESULT IN FOOD
another important new element is including smart meters and control and management systems focused on saving energy .,ANOR DESC-IMPORTANT DESC-NEW ELEMENT BE INCLUDE DESC-SMART METER AND CONTROL AND MANAGEMENT SYSTEM FOCUS ON SAVE ENERGY,ANOR DESC-IMPORTANT DESC-NEW ELEMENT BE INCLUDE DESC-SMART METERS AND CONTROL AND MANAGEMENT SYSTEM FOCUS ON SAVE ENERGY
"the council is very conspicuous by its absence , as are the leaders of the political parties .",COUNCIL BE DESC-VERY DESC-CONSPICUOUS BY X-ITS ABSENCE AS BE LEADER DESC-POLITICAL PARTY,COUNCIL BE DESC-VERY DESC-CONSIDEROUS BY X-ITS ABSENCE AS BE LEADER DESC-POLITICAL PARTY
i will not dwell on the conclusions or repeat what the presidency has said .,X-I WILL DESC-NOT DWELL ON CONCLUSION OR REPEAT WHAT PRESIDENCY HAVE SAY,X-I WILL DESC-NOT DEEP ON CONCLUSION OR REPEAT WHAT PRESIDENCY HAVE SAY
international trade is limited but might exacerbate the pressure on the species .,DESC-INTERNATIONAL TRADE BE LIMIT BUT MIGHT EXACERBATE PRESSURE ON SPECIES,DESC-INTERNATIONAL TRADE BE LIMIT BUT MIGHT EXACERATE PRESSURE ON SPECIES
this is why we are voting today and weighing up whether what you are saying is convincing .,THIS BE WHY X-WE BE VOTE TODAY AND WEIGH DESC-UP WHER WHAT X-YOU BE SAY BE CONVINCE,THIS BE WHY X-WE BE VOTE TODAY AND WEIGHT DESC-UP WHER WHAT X-YOU BE SAY BE CONVINCE
"i mean everybody's opinions , including yours , of course .",X-I MEAN EVERYBODY X-POSS OPINION INCLUDE YOURS COURSE,X-I MEAN EVERYBODY X-POSS OPINION INCLUDE X-YOU COURSE
a computer game cannot replace talking to one's grandmother .,COMPUTER GAME CAN DESC-NOT REPLACE TALK TO ONE X-POSS GRANDMOR,COMPUTER GAME CAN DESC-NOT REPLACE TALK TO ONE X-POSS GRANDMA
the european arrest warrant has replaced extradition .,EUROPEAN ARREST WARRANT HAVE REPLACE EXTRADITION,EUROPEAN ARREST WARRANT HAVE REPLACE EXTRADdition
we should emphasise that this is a time that reflects the spirit of lisbon as seldom before .,X-WE SHOULD EMPHASISE THAT THIS BE TIME THAT REFLECT SPIRIT LISBON AS DESC-SELDOM BEFORE,X-WE SHOULD EMPHASISE THAT THIS BE TIME THAT REFLECT SPIRIT LISBON AS DESC-RARELY BEFORE
dirty production must not be possible anywhere .,DESC-DIRTY PRODUCTION MUST DESC-NOT BE DESC-POSSIBLE DESC-ANYWHERE,DESC-DRY PRODUCTION MUST DESC-NOT BE DESC-POSSIBLE DESC-ANYWHERE
"we need to talk , too , very openly about the whole issue of the mixing of animal feeds .",X-WE NEED TO TALK DESC-TOO DESC-VERY DESC-OPENLY ABOUT WHOLE ISSUE MIX ANIMAL FEED,X-WE NEED TO TALK DESC-TOO DESC-VERY DESC-OPENLY ABOUT WHOLE ISSUE MIXING ANIMAL FEEDS
"let a thousand flowers bloomwas , i think , the great phrase .",LET THOUSAND FLOWER BLOOMWA X-I THINK DESC-GREAT PHRASE,LET THOUSAND FLORIST BLOOMWA X-I THINK DESC-GREAT PHASE
we should be prudent with public money at all times .,X-WE SHOULD BE DESC-PRUDENT WITH PUBLIC MONEY AT ALL TIME,X-WE SHOULD BE DESC-CONSCIOUS WITH PUBLIC MONEY AT ALL TIME
human rights watch continues to report that non muslim minorities are being persecuted .,DESC-HUMAN RIGHTS WATCH CONTINUE TO REPORT THAT NON MUSLIM MINORITY BE BE PERSECUTE,DESC-HUMAN RIGHTS WATCH CONTINUE TO REPORT THAT NON MUSLIM MINORITY BE BE PERSECUTED
"despite this , many of us warned against political decisions on large subsidies from the public purse .",DESPITE THIS DESC-MANY X-WE WARN AGAINST DESC-POLITICAL DECISION ON DESC-LARGE SUBSIDY FROM PUBLIC PURSE,DESPITE THIS DESC-MANY X-WE WARN AGAINST DESC-POLITICAL DECISION ON DESC-LARGE SUBSIDY FROM PUBLIC PURCHASE
"however , ukraine must show that it is a trustworthy partner for us .",DESC-HOWEVER UKRAINE MUST SHOW THAT X-IT BE DESC-TRUSTWORTHY PARTNER FOR X-WE,DESC-HOWEVER UKRAINE MUST SHOW THAT X-IT BE DESC-TRUSTFUL PARTNER FOR X-WE
the adverse consequences of the parentsdeparture are primarily felt by children at a psychological level .,DESC-ADVERSE CONSEQUENCE PARENTSDEPARTURE BE DESC-PRIMARILY FEEL BY CHILD AT DESC-PSYCHOLOGICAL LEVEL,DESC-ADVERSE CONSEQUENCE PARENTSDEPARTURE BE DESC-PRIMARILY FEEL BY CHILD AT DESC-PHYSICAL LEVEL
let me describe an actual case .,LET X-I DESCRIBE DESC-ACTUAL CASE,LET X-I DECLARATE DESC-ACTUAL CASE
let us look now at the nature of the benefits offered to companies by the epc statute .,LET X-WE LOOK DESC-NOW AT NATURE BENEFIT OFFER TO COMPANY BY EPC STATUTE,LET X-WE LOOK DESC-NOW AT NATURE BENEFIT OFFER TO COMPANY BY EPCC STATUTE
all of this only confirms the harmfulness of the current concept of the european central bank .,ALL THIS DESC-ONLY CONFIRM HARMFULNESS DESC-CURRENT CONCEPT EUROPEAN DESC-CENTRAL BANK,ALL THIS DESC-ONLY CONFIRM DESC-HARMFULNESS DESC-CURRENT CONCEPT EUROPEAN DESC-CENTRAL BANK
"this situation does throw up a number of questions , of course .",THIS SITUATION DO THROW DESC-UP NUMBER QUESTION COURSE,THIS SITUATION DO TAKE DESC-UP NUMBER QUESTION COURSE
"the internet in particular provides details about our private lives , something which was unimaginable a few years ago .",INTERNET IN DESC-PARTICULAR PROVIDE DETAIL ABOUT X-WE DESC-PRIVATE LIFE SOMETHING WHICH BE DESC-UNIMAGINABLE DESC-FEW YEAR DESC-AGO,INTERNET IN DESC-PARTICULAR PROVIDE DETAIL ABOUT X-WE DESC-PRIVATE LIFE SOMETHING WHICH BE DESC-UNINDEPENDABLE DESC-FEW YEAR DESC-AGO
"these terms are reciprocity , european interest , the fight against dumping and the fight against tariff barriers .",SE TERM BE RECIPROCITY EUROPEAN INTEREST FIGHT AGAINST DUMP AND FIGHT AGAINST TARIFF BARRIER,SE TERM BE RECIPROCITY EUROPEAN INTEREST FIGHT AGAINST DUPPING AND FIGHT AGAINST TARIFF BARRIER
"it is a good initiative and , the sooner it is introduced , the better for everybody .",X-IT BE DESC-GOOD INITIATIVE AND DESC-SOONER X-IT BE INTRODUCE DESC-BETTER FOR EVERYBODY,X-IT BE DESC-GOOD INITIATIVE AND DESC-EARLIER X-IT BE INTRODUCE DESC-BETTER FOR EVERYBODY
"as a percentage of gdp , sipri reports that greece wastes 3.3 % .",AS PERCENTAGE GDP SIPRUS REPORT THAT GREECE WASTE 3.3 %,AS PERCENTAGE GDP SIPRI REPORT THAT GREECE WASTE 3.3 %
to give the member states money for managing their own shortcomings would be downright madness .,TO GIVE MEMBER STATE MONEY FOR MANAGE X-Y DESC-OWN SHORTCOMING WOULD BE DESC-DOWNRIGHT MADNESS,TO GIVE MEMBER STATE MONEY FOR MANAGE X-Y DESC-OWN DISAPPOINTMENT WOULD BE DESC-DOWNRIGHT MADNESS
so we are pleased to have been able to breathe a little more life into this body .,DESC-SO X-WE BE DESC-PLEASED TO HAVE BE DESC-ABLE TO BREA DESC-LITTLE MORE LIFE INTO THIS BODY,DESC-SO X-WE BE DESC-PLEASED TO HAVE BE DESC-ABLE TO BREATH DESC-LITTLE MORE LIFE INTO THIS BODY
"in the face of its worsening economic prospects , ukraine has requested macro financial assistance from the union .",IN FACE X-ITS WORSEN DESC-ECONOMIC PROSPECTS UKRAINE HAVE REQUEST MACRO DESC-FINANCIAL ASSISTANCE FROM UNION,IN FACE X-ITS WORSE DESC-ECONOMIC PROSPECTS UKRAINE HAVE REQUEST MACRO DESC-FINANCIAL ASSISTANCE FROM UNION
the trans european networks have a long history .,TRAN EUROPEAN NETWORK HAVE DESC-LONG HISTORY,TRANS EUROPEAN NETWORK HAVE DESC-LONG HISTORY
situation in côte d ivoire,SITUATION IN C?TE D IVOIRE,SITUATION IN COURT D IVOIRE
"the longer the chain of conversions , the greater the losses .",DESC-LONGER CHAIN CONVERSION DESC-GREATER LOSS,DESC-LONGER CHAIN CONVERTATION DESC-GREATER LOSS
our diplomats in the region have followed the situation in east jerusalem closely .,X-WE DIPLOMAT IN REGION HAVE FOLLOW SITUATION IN DESC-EAST JERUSALEM DESC-CLOSELY,X-WE DIPLOMATIC IN REGION HAVE FOLLOW SITUATION IN DESC-EAST JERUSALEM DESC-CLOSELY
the dossier continues to evolve .,DOSSIER CONTINUE TO EVOLVE,DOCUMENT CONTINUE TO EVOKE
the greek crisis has demonstrated the need for enhanced economic governance .,GREEK CRISIS HAVE DEMONSTRATE NEED FOR DESC-ENHANCED DESC-ECONOMIC GOVERNANCE,GREEK CRISIS HAVE DEMONSTRATE NEED FOR ENHANCE DESC-ECONOMIC GOVERNANCE
the compromise is supported by the european associations of hauliers and infrastructure managers .,COMPROMISE BE SUPPORT BY EUROPEAN ASSOCIATION HAULIER AND INFRASTRUCTURE MANAGER,COMPROMISE BE SUPPORT BY EUROPEAN ASSOCIATION HOURIER AND INFRASTRUCTURE MANAGER
a current study shows that it is unaccompanied minors who are the victims of such crimes .,DESC-CURRENT STUDY SHOW THAT X-IT BE DESC-UNACCOMPANIED DESC-MINOR WHO BE VICTIM DESC-SUCH CRIME,DESC-CURRENT STUDY SHOW THAT X-IT BE DESC-UNACCOMPANYED DESC-MINOR WHO BE VICTIM DESC-SUCH CRIME
we should remember bse and the results of adding meat and bone meal to animal feeds .,X-WE SHOULD REMEMBER BSE AND RESULT ADD MEAT AND BONE MEAL TO ANIMAL FEED,X-WE SHOULD REMEMBER BSE AND RESULT ADD MEAT AND BONE MEAL TO ANIMAL FEEDS
